id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.154 1						
155079	ulp	l(I)	l (I)	prep.	to	Based on DULAT reconstruction.
155079	ulp	p(I)	p (I)	conj. functor	and	Based on DULAT reconstruction.
155079	ulp	ulp	ủlp	→	?	
# KTU 1.154 2						
155080	ulp	l(I)	l (I)	prep.	to	Based on DULAT reconstruction.
155080	ulp	p(I)	p (I)	conj. functor	and	Based on DULAT reconstruction.
155080	ulp	ulp	ủlp	→	?	
# KTU 1.154 3						
155081	ulp	l(I)	l (I)	prep.	to	Based on DULAT reconstruction.
155081	ulp	p(I)	p (I)	conj. functor	and	Based on DULAT reconstruction.
155081	ulp	ulp	ủlp	→	?	
# KTU 1.154 4						
155082	ulp	l(I)	l (I)	prep.	to	Based on DULAT reconstruction.
155082	ulp	p(I)	p (I)	conj. functor	and	Based on DULAT reconstruction.
155082	ulp	ulp	ủlp	→	?	
# KTU 1.154 5						
155083	ulp	l(I)	l (I)	prep.	to	Based on DULAT reconstruction.
155083	ulp	p(I)	p (I)	conj. functor	and	Based on DULAT reconstruction.
155083	ulp	ulp	ủlp	→	?	
# KTU 1.154 6						
155084	ulp	l(I)	l (I)	prep.	to	Based on DULAT reconstruction.
155084	ulp	p(I)	p (I)	conj. functor	and	Based on DULAT reconstruction.
155084	ulp	ulp	ủlp	→	?	
