id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.180 1						
156267	šm	š/; šm(I)/	š; šm (I)	n. m.; n. m.	ram; name	
156268	ˤṯtrt	ˤṯtrt(II)/	ʕṯtrt (II)	TN	ʿṯtrt (II)	
156269	ql	ql[; ql(I)/	/q-l/; ql (I)	vb; n. m.	to fall (down); voice	
156270	yšr	!y!šr(I)[	/š-r/ (I)	vb	to sing	
# KTU 1.180 2						
156271	iḏmr	?	?	?	?	DULAT: NOT FOUND
156272	šm	š/; šm(I)/	š; šm (I)	n. m.; n. m.	ram; name	
156273	lbi	?	?	?	?	DULAT: NOT FOUND
156274	šm	š/; šm(I)/	š; šm (I)	n. m.; n. m.	ram; name	
156275	tkšd	!t!kšd[	/k-š-d/	vb	to search for	
156276	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
# KTU 1.180 3						
156277	tṣpq	?	?	?	?	DULAT: NOT FOUND
156278	lḥt	lḥ(II)/t=; lḥ(I)/t=	lḥ (II); lḥ (I)	n. m.; n. f.	missive; cheek	
156279	dgr	?	?	?	?	DULAT: NOT FOUND
156280	il	il(I)/	ỉl (I)	n. m.	god	
# KTU 1.180 4						
156281	nmr	?	?	?	?	DULAT: NOT FOUND
156282	ḥṯrt	ḥṯr(t/t	ḥṯrt	adj. f.	fierce	
156283	ˤṯtrt	ˤṯtrt(II)/	ʕṯtrt (II)	TN	ʿṯtrt (II)	
# KTU 1.180 5						
156284	nmr	?	?	?	?	DULAT: NOT FOUND
156285	ḥṯrt	ḥṯr(t/t	ḥṯrt	adj. f.	fierce	
156286	trqṣ	?	?	?	?	DULAT: NOT FOUND
