KTU 2.14
id,surface form,morphological parsing,DULAT,POS,gloss,comments
# KTU 2.14 1,,,,,,
156698,tḥm,tḥm/,tḥm,n. m. sg.,message,
156699,ixwrḏn,ixwrḏn/,ixwrḏn,PN,?,DULAT: NOT FOUND
# KTU 2.14 2,,,,,,
156700,l,l(I),l (I),prep.,to,
156701,iwrpḫn,iwrpḫn,iwrpḫn,PN,?,DULAT: NOT FOUND
# KTU 2.14 3,,,,,,
156702,bny,bn(I)/+y,bn (I),n. m.,son,
156703,aḫy,aḫ(I)/+y,ảḫ (I),n. m.,brother (by blood),
156704,rgm,!!rgm[,/r-g-m/,vb G suffc. / vb G impv.,to say,
# KTU 2.14 4,,,,,,
156705,ilm,il(I)/m,ỉl (I),n. m. pl.,god,
156706,tġrk,!t!(nġr[+k,/n-ġ-r/,vb G suffc.,to protect,
# KTU 2.14 5,,,,,,
156707,tšlmk,!t!šlm[+k:d,/š-l-m/,vb D suffc.,to be well,
# KTU 2.14 6,,,,,,
156708,iky,ik~y,ỉky,interr. functor,How,
156709,lḥt,lḥ(II)(t/t,lḥ (II),f. m. s.,missive,
# KTU 2.14 7,,,,,,
156710,spr,spr(II)/,spr (II),n. m. sg.,tablet / register,
156711,d,d,d,det. or rel. functor,the one(s) of,
156712,likt,l(ʔ&ik[t,/l-ʔ-k/,vb G suffc.,to send (a message),
# KTU 2.14 8,,,,,,
156713,ˤm,ˤm(I),ʕm (I),prep.,to,
156714,ṯryl,ṯryl/,,PN,?,DULAT: NOT FOUND
# KTU 2.14 9,,,,,,
156715,mhy,mh~y,m(h),pers. pn.,what?,Based on DULAT reconstruction.
156716,rgmt,rgm[t===,/r-g-m/,vb G suffc.,to say,
# KTU 2.14 10,,,,,,
156717,w,w,w,conj.,and,
156718,ht,ht,ht,adv.,here,
156719,aḫy,aḫ(I)/+y,ảḫ (I),n. m.,brother (by blood),
# KTU 2.14 11,,,,,,
156720,bny,bn(I)/+y,bn (I),n. m.,son,
156721,yšal,!y!š(ʔ&al[,/š-ʔ-l/,vb G prefc.,to ask ,
# KTU 2.14 12,,,,,,
156722,ṯryl,ṯryl/,ṯryl,PN,ṯryl,
156723,p,p(I),p (I),conj. functor,and,
156724,rgmt,!!rgm[/,/r-g-m/,vb inf absolute ,to say,
# KTU 2.14 13,,,,,,
156725,l,l(I),l (I),prep.,to,
156726,mlk,mlk(I)/,mlk (I),n. m. sg.,king,
156727,šmy,šm(I)/+y,šm (I),n. m. sg.,name,
# KTU 2.14 14,,,,,,
156728,w,w,w,conj.,and,
156729,l,l (I),l (I),?,to,DULAT: NOT FOUND
,ixytlm,ixytlm,ixytlm,PN,,
# KTU 2.14 15,,,,,,
156730,w,w,w,conj.,and,
156731,ht,ht,ht,adv.,here,
156732,aḫy,aḫ(I)/+y,ảḫ (I),n. m.,brother (by blood),
# KTU 2.14 16,,,,,,
156733,bny,bn(I)/+y,bn (I),n. m.,son,
156734,yšal,!y!š(ʔ&al[,/š-ʔ-l/,vb G prefc.,to ask,
# KTU 2.14 17,,,,,,
156735,ṯryl,ṯryl/,ṯryl,PN,ṯryl,
156736,w,w,w,conj.,and,
156737,rgm,rgm/,rgm,n. m. sg.,word,
# KTU 2.14 18,,,,,,
156738,ṯṯb,!!](š&ṯ]ṯb[,/ṯ-b/,vb Š impv.,to return,
156739,l,l(I),l (I),prep.,to,
156740,aḫk,aḫ(I)/+k,ảḫ (I),n. m.,brother (by blood),
# KTU 2.14 19,,,,,,
156741,l,l(I),l (I),prep.,to,
156742,adnk,adn(I)/+k,ảdn (I),n. m.,father ,
