KTU 2.26
KTU 2.26,,,,,,
id,surface form,morphological parsing,DULAT,POS,gloss,comments
# KTU 2.26 1,,,,,,
157136,tḥm,tḥm/,tḥm,n. m. sg.,message,
# KTU 2.26 2,,,,,,
157138,mlk,mlk(I)/,mlk (I),n. m. sg.,king,
# KTU 2.26 3,,,,,,
157139,l,l(I),l (I),prep.,to,
157140,ḥyil,ḥyil,?,PN,PN,DULAT: NOT FOUND
# KTU 2.26 4,,,,,,
157141,lm,lm(II),lm(II),,why,
157142,tlik,!t!l(ʔ&ik[,/l-ʔ-k/,vb D prefc.,to send (a message),
157143,ˤmy,ˤm(I)+y,ʕm (I),prep.,to,
# KTU 2.26 5,,,,,,
157144,iky,ik+y,ỉky,interr. functor,How,
157145,aškn,!(ʔ&a!škn[:d,/š-k-n/,vb D,to be placed,
# KTU 2.26 6,,,,,,
157146,ˤṣm,ˤṣ/m,ʕṣ,n. m. pl.,tree,
157147,l,l(I),l (I),prep.,for,
157148,bt,bt(II)/,bt (II),n. m. sg.,house,
157149,dml,dml/,dml,DN,dml,
# KTU 2.26 7,,,,,,
157150,p,p(I),p (I),conj. functor,and,
157151,ank,ank,ảnk,pers. pn.,I,
157152,atn,!ʔ&a!tn[,/y-t-n/,vb G prefc.,to give,
# KTU 2.26 8,,,,,,
157153,ˤṣm,ˤṣ/m,ʕṣ,n. m. pl.,tree,
157154,lk,l(I)+k,l (I),prep.,to,
# KTU 2.26 9,,,,,,
157155,arbˤ,arbˤ/,ảrbʕ,num.,four,
157156,ˤṣm,ˤṣ/m,ʕṣ,n. m. pl.,tree,
# KTU 2.26 10,,,,,,
157157,ˤl,ˤl(I),ʕl (I),prep.,upon/ from,
157158,ar,(ar,ar,TN,TN,
# KTU 2.26 11,,,,,,
157159,w,w,w,conj.,and,
157160,ṯlṯ,ṯlṯ(I)/,ṯlṯ (I),n. sg. num.,three,
# KTU 2.26 12,,,,,,
157161,ˤl,ˤl(I),ʕl (I),prep.,upon/from,
157162,ubrˤy,ubrˤ/,ủbrʕ(y),TN,ủbrʿ(y),
# KTU 2.26 13,,,,,,
157163,w,w,w,conj.,and,
157164,ṯn,ṯn(I)/,ṯn (I),num.,two,
157165,ˤl,ˤl(I),ʕl (I),prep.,upon,
# KTU 2.26 14,,,,,,
157166,mlk,mlk/,mlk,TN,mulukku,
# KTU 2.26 15,,,,,,
157167,w,w,w,conj.,and,
157168,aḥd,aḥd/,ảḥd,adj. sg. num./adv. num.,one,
# KTU 2.26 16,,,,,,
157169,ˤl,ˤl(I),ʕl (I),prep.,upon,
157170,atlg,atlg/,ảtlg,TN,ảtlg,
# KTU 2.26 17,,,,,,
157171,w,w,w,conj.,and,
157172,l,l(I),l (I),prep.,to,
157173,ˤṣm,ˤṣ/m,ʕṣ,n. m. pl.,trees/ logs,
# KTU 2.26 18,,,,,,
157174,tspr,!t!spr[,/s-p-r/,vb,to count/ to account for,
# KTU 2.26 19,,,,,,
157175,nrn,nrn/,nrn,PN,nrn,
157176,al,al(I),ảl (I),neg. functor,no,
157177,tud,!t!(ʔd[,/ʔ-w-d/,vb G prefc.,to bend/ burden ,
# KTU 2.26 20,,,,,,
157178,ad,!(ʔ&a!d(ʔ[:d,/ʔ-d-y/,vb D prefc.,to pay,
157179,at,at(I),ảt (I),pers. pn.,you,
157180,lhm,l(I)+hm,l (I),prep.,to,
# KTU 2.26 21,,,,,,
157181,ṯṯm,ṯṯm/,ṯṯm,n. pl. num.,sixty,
157182,ksp,ksp/,ksp,n. m. sg.,silver,
