# KTU 1.1 II:1							
125824	ḥšk	ḥšk 	!!ḥš(I)[/+k	/ḥ-š/ (I)	vb G inf. + 2 m. sg. suff.	to hurry, make haste	Smith-Pitard: three infinitives.
125824	ḥšk	ḥšk 	!!ḥšk[	/ḥ-š-k/	vb G impv. m. sg.	to seize, grasp	DULAT: 'grasp your staff (and) your mace' (1.3 III:18).
125825	ˤṣk	 ʿṣk 	!!ˤṣ[/+k	/ʕ-s-y:s/	vb G inf. + 2 m. sg. suff.	?	Smith-Pitard: infinitive (DULAT /ʕ-s-y:s/ '?').
125825	ˤṣk	 ʿṣk 	ˤṣ/+k	ʕṣ	n. m. sg. cstr. acc. + 2 m. sg. suff.	tree, plant, (vine-)stock	DULAT: 'your staff'.
125826	ˤbṣk	 ʿbṣk 	!!ˤbṣ[/+k	?	vb G inf. + 2 m. sg. suff.	?	Smith-Pitard: infinitive; no DULAT verbal root (cf. ʕbṣ (I) n. 'mace').
125826	ˤbṣk	 ʿbṣk 	ˤbṣ(I)/+k	ʕbṣ (I)	n. m. sg. cstr. acc. + 2 m. sg. suff.	mace	DULAT: 'your mace'.
125827	ˤmy	 ʿmy	ˤm(I)+y	ʕm (I)	prep. + 1 c. sg. suff.	to	
125828	pˤnk	pʿnk	pˤn/+k	pʕn	n. f. du. cstr. nom. + 2 m. sg. suff.	foot	'To me let your feet run' (formula).
# KTU 1.1 II:2							
125829	tlsmn	tlsmn 	!t!lsm[n	/l-s-m/	vb G prefc. 3 f. du.	to run	Subject pˤnk (du.).
125830	ˤmy	 ʿmy 	ˤm(I)+y	ʕm (I)	prep. + 1 c. sg. suff.	to	
125831	twtḥ	 twtḥ	!t!w]t]ḥ(y[	/w-ḥ-y/	vb Gt prefc. 3 m. du.	to hasten	
125832	išdk	išdk	išd/+k	ỉšd	n. m. du. cstr. nom. + 2 m. sg. suff.	leg	
# KTU 1.1 II:3							
125833	tk	tk 	tk/	tk	n. m. sg. cstr. acc.	2) to	Adverbial acc. 'towards'.
125833	tk	tk 	tk	tk	prep.	in the midst of	DULAT: tk n. 'centre', also used as prep. (EUPT: Präp.).
125834	ḫršnr	 ḫršn       r	ḫršn&r/	ḫršn (I)	n. m. sg. abs. gen.	(divine) mountain	Cf. TCS n. on ḫršn/ġr.
125835	tḥmk	tḥmk	tḥm/+k	tḥm	n. m. cstr. nom.	message	tḥmk perhaps object of št; syntax unclear.
125836	w	w	w	w	conj.	and	
125837	št	št	!!št[	/š-t/	vb G impv.	to place, set, set up, leave	DULAT cites [t]ḥmk w št here s.v. /š-t/.
125837	št	št	št[	/š-t/	vb G suffc. 3 m. sg.	to place, set, set up, leave	
# KTU 1.1 II:4							
125838	l	             l	l(I)	l (I)	prep.	to	
125839	ẓr	ẓr	ẓr(I)/	ẓr (I)	n. m. abs. gen.	upon	
125840	rdyk	rdyk	rdy+k	rdy	?	harass	DULAT rdy '?/harass' cited at this line; sense uncertain.
# KTU 1.1 II:5							
125841	iqnim	                  iqnim	iqn(u&i/m	ỉqnủ	n. m. pl. abs.	gem of lapis lazuli	Case indeterminable.
# KTU 1.1 II:6							
125842	yšu	                   yšu	!y!(nš(ʔ[&u	/n-š-ʔ/	vb G prefc. 3 m. sg.	to raise	
125843	b	b	b	b	prep.	in	
125844	qrb	qrb	qrb/	qrb	n. m. sg. abs. gen.	inside, middle	b qrb 'in the midst' (auto sense '2) vulva' wrong here).
# KTU 1.1 II:7							
125845	x	                   x	?	?	?	?	
125846	asr	asr	(ʔ&asr[	/ʔ-s-r/	vb G suffc. 3 m. sg.	to tie	TCS: II:3b-13 untranslatable.
125846	asr	asr	!!(ʔ&asr[	/ʔ-s-r/	vb G impv. m. sg.	to tie	
# KTU 1.1 II:8							
125847	tm	                   tm	tm/	tm	adj. m. sg. abs.	complete, full	
125847	tm	                   tm	(ṯ&tm	ṯm	adv.	there	
125847	tm	                   tm	?	?	?	?	Or the tail of a longer lost word.
125848	ymtm	ymtm	ym(I)/t~m	ym (I)	n. m. pl. abs. + encl. -m	day	DULAT cites ]tm ymtm here s.v. ym (I) (pl. ymt): 'days'.
125848	ymtm	ymtm	!y!mt[~m	/m-t/	vb G prefc. 3 m. sg. + encl. -m	to die	TCS: 'to die' (ymtm), cf. dying-formulae (1.18 IV:25).
# KTU 1.1 II:9							
125849	npšh	           npšh 	npš(I)/+h	npš (I)	n. f. sg. cstr. nom. + 3 m. sg. suff.	throat	
125850	w	w	w	w	conj.	and	
125851	iṯl	iṯl	iṯl/	ỉṯl	n. m. sg. cstr. nom.	saliva	w iṯl 'and the spittle'; TCS: k ỉṯl in dying-formulae (1.18 IV:25).
# KTU 1.1 II:10							
125852	ḥršm	          ḥršm	ḥrš(I)/m	ḥrš (I)	n. m. pl. abs. acc.	craftsman	Object of ʕdb (?); TCS: untranslatable.
125853	ˤdb	ʿdb	ˤdb[	/ʕ-d-b/	vb G suffc. 3 m. sg.	to leave > to put in > to place	
