# KTU 1.5 I:1
139769	k	k	k(III)	k (III)	Subordinating or completive functor	when	
139770	tmḫṣ	tmḫṣ 	!t!mḫṣ[	/m-ḫ-ṣ/	vb	to wound	G, prefc., 2ms
139771	ltn	ltn 	ltn(I)/	ltn (I)	DN	Lôtan	abs, acc., ms
139772	bṯn	bṯn 	bṯn/	bṯn	n. m.	serpent	
139773	brḥ	brḥ	brḥ/	brḥ	adj. m.	fleeing	Wyatt: “wriggling / twisting”.
# KTU 1.5 I:2
139774	tkly	tkly 	!t!kly[:d	/k-l-y/	vb	to finish (off)/destroy/drain	
139775	bṯn	bṯn 	bṯn/	bṯn	n. m.	serpent	
139776	ˤqltn	ʿqltn 	ˤqltn/	ʕqltn	adj. m.	winding	
139777	š	š	?	?	?	?	spelling mistake?
# KTU 1.5 I:3
139778	šlyṭ	šlyṭ 	šlyṭ/;]š]l(w&yṭ/[;]š]lyṭ/[;]š]lyṭ/[;šlyṭ/	šlyṭ;/l-w-ṭ/;/l-y-ṭ/;/l-y-ṭ/;šlyṭ	n. m.;vb;vb;vb;DN m.	tyrant/powerful;enwrap/encircle;enwrap/encircle;curse;Šaliyaṭu
139779	d	d 	d	d	det. or rel. functor	the one(s) of	
139780	šbˤt	šbʿt 	šbˤ(I)/t	šbʕ (I)	n. num.	seven	
139781	rašm	rašm	r(i&aš(I)/m	rỉš (I)	n. m.	head	
# KTU 1.5 I:4
139782	tṯkḥ	tṯkḥ 	!t!ṯkḥ[	/ṯ-k-ḥ/	vb	to burn	Wyatt p115 n7: first colon in tlkḥ.ttrp.šmm is “heat / become hot”.
139783	ttrp	ttrp 	!t!]t]rp(y[:d	/r-p-y/	vb	to slacken	Wyatt p115 n7 keeps Dt /r-p-y/, with alternatives “droop / convulse”.
139784	šmm	šmm 	šm(m(I)/m	šmm (I)	n. m.	heavens	???
139785	krs	krs	k(I),r(ks/;k(I),r(ks/[	k (I),rks;k (I),/r-s/	prep.,n. m.;prep.,vb	like, belt;like, fold?	UNP: "but let me tear you to pieces", Gibson: "with a breaking in pieces", TCS: "like the folds (?)", noun or verbal noun?
# KTU 1.5 I:5
139786	ipdk	ipdk 	ipd/+k	ỉpd, -k (I)	n. m.,pers. pn.	tunic, your(s)	???
139787	ank	ank 	ank	ảnk	pers. pn.	I	
139788	ispi	ispi 	!(ʔ&i!sp(ʔ[/&i:n	/s-p-ʔ/, ỉn	vb,n. m.	to devour, lack of	pass. ptcpl. ???
139789	uṭm	uṭm	uṭ/+m	ủṭ, -m (I)	n. m.,morph.	span,	???
# KTU 1.5 I:6
139790	ḏrqm	ḏrqm 	ḏrq/m	ḏrq	n. m.	fragment	???
139791	amtm	amtm 	amt/m;!a!mt[~m;amt(II)/+m	ảmt (I);/m-t/, -m (I);ảmt (II), -m (I)	n. f.;vb, morph.;n. f.,morph.	(female) slave;to die, enclitic;elbow, enclitic	
139792	l	l	l(III)	l (III)	functor	certainly	
139793	yrt	yrt	yr(d&t[	/y-r-d/	vb	to go down	
# KTU 1.5 I:7
139794	b	b	b	b	prep.	in	
139795	npš	npš 	npš(I)/	npš (I)	n. f.	throat	
139796	bn	bn	bn(I)/	bn (I)	n. m.	son	
139797	ilm	ilm 	il(I)/m	ỉl (I)	n. m.	god	
139798	mt	mt 	mt(II)/	mt (II)	n. m.	death	
139799	b	b	b	b	prep.	in	
139800	mh	mh	&m&h				UDB: "R1 assumes the Broken String: mhmrt."
# KTU 1.5 I:8
139801	mrt	mrt 	(hmrt/	hmrt	n. f.	drain, sink	
139802	ydd	ydd 	ydd(I)/	ydd (I)	adj. m.	loved	
139803	il	il 	il(I)/	ỉl (I)	n. m.	god	
139804	ġzr	ġzr	ġzr/	ġzr	n. m.	lad	
# KTU 1.5 I:9
139805	tbˤ	tbʿ 	tbˤ[	/t-b-ʕ/	vb	to go	
139806	w	w	w	w	conj.	and	
139807	l	l 	l(II)	l (II)	adv.	not	
139808	yṯb	yṯb 	!y!(yṯb[;yṯb[	/y-ṯ-b/;/y-ṯ-b/	vb;vb	to sit down;to linger	
139809	ilm	ilm 	il(I)/m	ỉl (I)	n. m.	god	
139810	idk	idk	idk	ỉdk	narrative adv. functor	then	
# KTU 1.5 I:10
139811	l	l	l(III)	l (III)	functor	truly	
139812	ytn	ytn 	!y!(ytn[;ytn[	/y-t-n/;/y-t-n/	vb;vb	to give;to grant	
139813	pnm	pnm 	pn(m/m	pnm	n. m. pl. tant.	face	
139814	ˤm	ʿm 	ˤm(I)	ʕm (I)	prep.	to	
139815	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN	Baʿlu	
# KTU 1.5 I:11
139816	mrym	mrym 	mrym/	mrym	n. m.	height	
139817	ṣpn	ṣpn 	ṣpn/	ṣpn	TN	Ṣapānu	
139818	w	w	w	w	conj.	and	
139819	yˤn	yʿn	!y!ˤn(y(I)[	/ʕ-n-y/ (I)	vb	to answer	
# KTU 1.5 I:12
139820	gmpn	gmpn 	g&mpn(III)/	gpn (III)	DN		??? double-check the transcription
139821	w	w	w	w	conj.	and	
139822	ugr	ugr 	ugr(II)/	ủgr (II)	DN		
139823	tḥm	tḥm 	tḥm/	tḥm	n. m.	message	
139824	bn	bn	bn(I)/	bn (I)	n. m.	son	
139825	ilm	ilm	il(I)/m	ỉl (I)	n. m.	god	
# KTU 1.5 I:13
139826	mt	mt 	mt(II)/	mt (II)	n. m.	death	
139827	hwt	hwt 	hwt(I)/;hw(t(I)/t	hwt (I);hwt (I)	n. f.;n. f.	word;matter	???
139828	ydd	ydd 	ydd(I)/	ydd (I)	adj. m.	loved	
139829	bn	bn	bn(I)/	bn (I)	n. m.	son	
139830	il	il	il(I)/	ỉl (I)	n. m.	god	
# KTU 1.5 I:14
139831	ġzr	ġzr 	ġzr/	ġzr	n. m.	lad	
139832	p	p	p(I)	p (I)	conj. functor	and	
139833	np	np	np(š(I)/	npš (I)	n. f.	throat	line break
139834	š	š 	&š				line break
139835	npš	npš 	npš(I)/	npš (I)	n. f.	throat	
139836	lbim	lbim	lb(u&i/m	lbủ	n. m.	lion	Wyatt p117 n11 also notes possible maritime/monster construal in this passage.
# KTU 1.5 I:15
139837	thw	thw 	thw/;th(m&w/	thw;thm	n. m.;n. m.	steppe;ocean/deep	Wyatt p117 n11, conjectural restoration toward thm “deep/ocean”.
139838	hm	hm 	hm(II)	hm (II)	conj.	if	
139839	brlt	brlt 	brlt/	brlt	n. f.	hunger	
139840	anḫr	anḫr	anḫr/	ảnḫr	n. m.	dolphin?	
